accuracy,avg_valid_rank,rank,avg_valid_len,len
0.4663,2.2368,-1,7.0395,4
0.4695,2.2857,6,7.0130,5
0.4667,2.2857,-1,7.0130,6
0.4639,2.2857,-1,7.0130,7
0.4611,2.2857,-1,7.0130,8
0.4583,2.2857,-1,7.0130,1
0.4615,2.2564,0,6.9487,2
0.4647,2.2278,0,6.8987,3
0.4678,2.2250,2,6.8625,4
0.4651,2.2250,-1,6.8625,5
0.4624,2.2250,-1,6.8625,6
0.4598,2.2250,-1,6.8625,7
0.4571,2.2250,-1,6.8625,8
0.4602,2.2099,1,6.8889,9
0.4633,2.2317,4,6.9268,10
0.4607,2.2317,-1,6.9268,1
0.4637,2.2048,0,6.8675,2
0.4611,2.2048,-1,6.8675,3
0.4586,2.2048,-1,6.8675,4
0.4615,2.1905,1,6.8452,5
0.4590,2.1905,-1,6.8452,6
0.4565,2.1905,-1,6.8452,7
0.4595,2.2118,4,6.8588,8
0.4570,2.2118,-1,6.8588,9
0.4545,2.2118,-1,6.8588,10
0.4521,2.2118,-1,6.8588,11
0.4550,2.2558,6,6.7907,1
0.4526,2.2558,-1,6.7907,2
0.4503,2.2558,-1,6.7907,3
0.4531,2.2299,0,6.7586,4
0.4560,2.3068,9,6.7386,5
0.4536,2.3068,-1,6.7386,6
0.4564,2.2809,0,6.7416,7
0.4541,2.2809,-1,6.7416,1
0.4518,2.2809,-1,6.7416,2
0.4495,2.2809,-1,6.7416,3
0.4472,2.2809,-1,6.7416,4
0.4450,2.2809,-1,6.7416,1
0.4478,2.3444,8,6.6889,2
0.4505,2.3187,0,6.6484,3
0.4483,2.3187,-1,6.6484,4
0.4510,2.3152,2,6.6304,5
0.4488,2.3152,-1,6.6304,6
0.4515,2.2903,0,6.6344,7
0.4541,2.2660,0,6.6489,8
0.4519,2.2660,-1,6.6489,1
0.4545,2.2526,1,6.6000,2
0.4571,2.2500,2,6.5625,3
0.4597,2.2577,3,6.5361,4
0.4575,2.2577,-1,6.5361,5
0.4601,2.3265,9,6.4796,1
0.4626,2.3131,1,6.4343,2
0.4651,2.2900,0,6.4000,3
0.4630,2.2900,-1,6.4000,4
0.4654,2.2673,0,6.3465,1
0.4633,2.2673,-1,6.3465,2
0.4612,2.2673,-1,6.3465,3
0.4591,2.2673,-1,6.3465,4
0.4570,2.2673,-1,6.3465,5
0.4595,2.2549,1,6.3431,6
0.4619,2.2621,3,6.3495,7
0.4643,2.2500,1,6.3654,8
0.4667,2.3143,9,6.3143,1
0.4646,2.3143,-1,6.3143,2
0.4670,2.3302,4,6.2830,3
0.4693,2.3458,4,6.2617,4
0.4672,2.3458,-1,6.2617,1
0.4652,2.3458,-1,6.2617,2
0.4675,2.3241,0,6.2315,3
0.4698,2.3119,1,6.2110,4
0.4721,2.3273,4,6.2000,5
0.4701,2.3273,-1,6.2000,6
0.4723,2.3063,0,6.2072,7
0.4703,2.3063,-1,6.2072,8
0.4684,2.3063,-1,6.2072,9
0.4706,2.2857,0,6.2411,10
0.4686,2.2857,-1,6.2411,1
0.4667,2.2857,-1,6.2411,2
0.4647,2.2857,-1,6.2411,3
0.4628,2.2857,-1,6.2411,4
0.4609,2.2857,-1,6.2411,1
0.4631,2.2655,0,6.2035,2
0.4612,2.2655,-1,6.2035,3
0.4634,2.2544,1,6.1842,4
0.4656,2.2435,1,6.1739,5
0.4677,2.2241,0,6.1724,6
0.4659,2.2241,-1,6.1724,7
0.4680,2.2137,1,6.1880,8
0.4701,2.2034,1,6.2119,9
0.4683,2.2034,-1,6.2119,10
0.4664,2.2034,-1,6.2119,11
0.4685,2.1849,0,6.1681,1
0.4706,2.1833,2,6.1333,2
0.4688,2.1833,-1,6.1333,3
0.4669,2.1833,-1,6.1333,4
0.4690,2.1736,1,6.1240,5
0.4672,2.1736,-1,6.1240,6
0.4692,2.1557,0,6.1311,7
0.4713,2.1382,0,6.1463,8
0.4733,2.1210,0,6.1694,9
0.4753,2.1040,0,6.2000,10
0.4773,2.0873,0,6.2381,11
0.4792,2.0945,3,6.2835,12
0.4812,2.0781,0,6.3359,13
0.4794,2.0781,-1,6.3359,1
0.4776,2.0781,-1,6.3359,2
0.4758,2.0781,-1,6.3359,3
0.4778,2.0620,0,6.3178,4
0.4760,2.0620,-1,6.3178,5
0.4779,2.0769,4,6.3154,6
0.4762,2.0769,-1,6.3154,7
0.4781,2.0611,0,6.3282,8
0.4800,2.1136,9,6.3485,9
0.4783,2.1136,-1,6.3485,10
0.4765,2.1136,-1,6.3485,1
0.4784,2.0977,0,6.3158,2
0.4803,2.0821,0,6.2910,3
0.4786,2.0821,-1,6.2910,4
0.4804,2.0667,0,6.2815,5
0.4823,2.0515,0,6.2794,6
0.4806,2.0515,-1,6.2794,7
0.4824,2.0584,3,6.2920,8
0.4842,2.0435,0,6.3116,9
0.4860,2.0360,1,6.3381,10
0.4878,2.0429,3,6.3714,11
0.4896,2.0284,0,6.4113,12
0.4913,2.0282,2,6.4577,13
0.4897,2.0282,-1,6.4577,14
0.4880,2.0282,-1,6.4577,15
0.4863,2.0282,-1,6.4577,1
0.4881,2.0140,0,6.4266,2
0.4898,2.0000,0,6.4028,3
0.4915,2.0414,8,6.3862,4
0.4932,2.0616,5,6.3767,5
0.4949,2.0476,0,6.3741,6
0.4966,2.0473,2,6.3784,7
0.4950,2.0473,-1,6.3784,8
0.4933,2.0473,-1,6.3784,9
0.4917,2.0473,-1,6.3784,1
0.4934,2.0604,4,6.3490,2
0.4917,2.0604,-1,6.3490,3
0.4901,2.0604,-1,6.3490,4
0.4885,2.0604,-1,6.3490,5
0.4869,2.0604,-1,6.3490,1
0.4886,2.0867,6,6.3133,1
0.4870,2.0867,-1,6.3133,2
0.4887,2.0728,0,6.2914,3
0.4903,2.0987,6,6.2763,4
0.4887,2.0987,-1,6.2763,5
0.4872,2.0987,-1,6.2763,6
0.4856,2.0987,-1,6.2763,7
0.4841,2.0987,-1,6.2763,8
0.4825,2.0987,-1,6.2763,1
0.4810,2.0987,-1,6.2763,2
0.4826,2.1111,4,6.2549,3
0.4811,2.1111,-1,6.2549,4
0.4796,2.1111,-1,6.2549,5
0.4781,2.1111,-1,6.2549,6
0.4798,2.1169,3,6.2597,7
0.4783,2.1169,-1,6.2597,8
0.4768,2.1169,-1,6.2597,9
0.4753,2.1169,-1,6.2597,10
0.4769,2.1032,0,6.2903,11
0.4785,2.0897,0,6.3269,12
0.4771,2.0897,-1,6.3269,1
0.4787,2.0955,3,6.2994,2
0.4772,2.0955,-1,6.2994,3
0.4788,2.0823,0,6.2848,4
0.4804,2.1006,5,6.2767,5
0.4789,2.1006,-1,6.2767,6
0.4805,2.0938,1,6.2812,7
0.4790,2.0938,-1,6.2812,8
0.4806,2.0870,1,6.2981,9
0.4792,2.0870,-1,6.2981,1
0.4807,2.0802,1,6.2716,2
0.4793,2.0802,-1,6.2716,3
0.4779,2.0802,-1,6.2716,4
0.4765,2.0802,-1,6.2716,5
0.4751,2.0802,-1,6.2716,6
0.4737,2.0802,-1,6.2716,7
0.4723,2.0802,-1,6.2716,8
0.4738,2.0859,3,6.2883,9
0.4754,2.0793,1,6.3110,10
0.4740,2.0793,-1,6.3110,11
0.4726,2.0793,-1,6.3110,12
0.4713,2.0793,-1,6.3110,13
0.4728,2.0727,1,6.3576,14
0.4714,2.0727,-1,6.3576,15
0.4729,2.0602,0,6.4157,16
0.4716,2.0602,-1,6.4157,1
0.4731,2.0479,0,6.3892,2
0.4718,2.0479,-1,6.3892,3
0.4704,2.0479,-1,6.3892,4
