accuracy,avg_valid_rank,rank,avg_valid_len,len
0.5118,2.0780,2,7.5917,5
0.5116,2.0780,-1,7.5917,6
0.5118,2.0772,1,7.5912,7
0.5116,2.0772,-1,7.5912,8
0.5118,2.0764,1,7.5923,9
0.5116,2.0764,-1,7.5923,10
0.5118,2.0756,1,7.5874,1
0.5116,2.0756,-1,7.5874,2
0.5114,2.0756,-1,7.5874,3
0.5112,2.0756,-1,7.5874,4
0.5114,2.0740,0,7.5855,5
0.5112,2.0740,-1,7.5855,6
0.5110,2.0740,-1,7.5855,1
0.5108,2.0740,-1,7.5855,2
0.5110,2.0725,0,7.5821,3
0.5111,2.0710,0,7.5795,4
0.5110,2.0710,-1,7.5795,5
0.5111,2.0694,0,7.5783,6
0.5109,2.0694,-1,7.5783,7
0.5111,2.0694,2,7.5786,8
0.5109,2.0694,-1,7.5786,9
0.5107,2.0694,-1,7.5786,10
0.5106,2.0694,-1,7.5786,11
0.5107,2.0678,0,7.5819,12
0.5109,2.0663,0,7.5859,13
0.5107,2.0663,-1,7.5859,14
0.5109,2.0677,4,7.5913,15
0.5107,2.0677,-1,7.5913,16
0.5109,2.0662,0,7.5982,17
0.5107,2.0662,-1,7.5982,18
0.5109,2.0647,0,7.6066,19
0.5107,2.0647,-1,7.6066,20
0.5109,2.0639,1,7.6165,21
0.5107,2.0639,-1,7.6165,22
0.5105,2.0639,-1,7.6165,1
0.5107,2.0639,2,7.6123,2
0.5109,2.0624,0,7.6090,3
0.5111,2.0630,3,7.6063,4
0.5112,2.0615,0,7.6044,5
0.5114,2.0630,4,7.6032,6
0.5116,2.0622,1,7.6028,7
0.5118,2.0607,0,7.6031,8
0.5120,2.0621,4,7.6041,9
0.5121,2.0664,8,7.6058,10
0.5123,2.0678,4,7.6083,11
0.5121,2.0678,-1,7.6083,1
0.5123,2.0663,0,7.6042,2
0.5121,2.0663,-1,7.6042,3
0.5119,2.0663,-1,7.6042,4
0.5121,2.0685,5,7.6023,5
0.5123,2.0670,0,7.6012,6
0.5125,2.0655,0,7.6007,7
0.5127,2.0640,0,7.6010,8
0.5128,2.0632,1,7.6020,9
0.5127,2.0632,-1,7.6020,10
0.5128,2.0631,2,7.6045,11
0.5130,2.0616,0,7.6077,12
0.5128,2.0616,-1,7.6077,1
0.5126,2.0616,-1,7.6077,2
0.5128,2.0616,2,7.6043,3
0.5130,2.0644,6,7.6017,4
0.5132,2.0644,2,7.5999,5
0.5130,2.0644,-1,7.5999,6
0.5132,2.0636,1,7.5994,7
0.5130,2.0636,-1,7.5994,8
0.5132,2.0629,1,7.6004,9
0.5130,2.0629,-1,7.6004,10
0.5132,2.0621,1,7.5957,1
0.5130,2.0621,-1,7.5957,2
0.5128,2.0621,-1,7.5957,3
0.5126,2.0621,-1,7.5957,4
0.5128,2.0606,0,7.5938,5
0.5126,2.0606,-1,7.5938,6
0.5124,2.0606,-1,7.5938,1
0.5122,2.0606,-1,7.5938,2
0.5124,2.0591,0,7.5905,3
0.5126,2.0576,0,7.5879,4
0.5124,2.0576,-1,7.5879,5
0.5125,2.0562,0,7.5868,6
0.5124,2.0562,-1,7.5868,7
0.5125,2.0561,2,7.5871,8
0.5123,2.0561,-1,7.5871,9
0.5122,2.0561,-1,7.5871,10
0.5120,2.0561,-1,7.5871,11
0.5122,2.0546,0,7.5902,12
0.5123,2.0532,0,7.5941,13
0.5121,2.0532,-1,7.5941,14
0.5123,2.0546,4,7.5994,15
0.5121,2.0546,-1,7.5994,16
0.5123,2.0531,0,7.6062,17
0.5121,2.0531,-1,7.6062,18
0.5123,2.0516,0,7.6143,19
0.5121,2.0516,-1,7.6143,20
0.5123,2.0509,1,7.6239,21
0.5121,2.0509,-1,7.6239,22
0.5119,2.0509,-1,7.6239,1
0.5121,2.0508,2,7.6199,2
0.5123,2.0494,0,7.6166,3
0.5125,2.0500,3,7.6140,4
0.5126,2.0486,0,7.6121,5
0.5128,2.0500,4,7.6110,6
0.5130,2.0492,1,7.6106,7
0.5132,2.0478,0,7.6108,8
0.5133,2.0491,4,7.6118,9
0.5135,2.0534,8,7.6135,10
0.5137,2.0548,4,7.6159,11
0.5135,2.0548,-1,7.6159,1
0.5137,2.0533,0,7.6119,2
0.5135,2.0533,-1,7.6119,3
0.5133,2.0533,-1,7.6119,4
0.5135,2.0554,5,7.6101,5
0.5137,2.0539,0,7.6089,6
0.5138,2.0525,0,7.6085,7
0.5140,2.0510,0,7.6088,8
0.5142,2.0503,1,7.6098,9
0.5140,2.0503,-1,7.6098,10
0.5142,2.0502,2,7.6122,11
0.5144,2.0488,0,7.6153,12
0.5142,2.0488,-1,7.6153,1
0.5140,2.0488,-1,7.6153,2
0.5142,2.0488,2,7.6120,3
0.5143,2.0516,6,7.6095,4
0.5145,2.0515,2,7.6076,5
0.5143,2.0515,-1,7.6076,6
0.5145,2.0508,1,7.6072,7
0.5143,2.0508,-1,7.6072,8
0.5145,2.0500,1,7.6082,9
0.5143,2.0500,-1,7.6082,10
0.5145,2.0493,1,7.6035,1
0.5143,2.0493,-1,7.6035,2
0.5141,2.0493,-1,7.6035,3
0.5139,2.0493,-1,7.6035,4
0.5141,2.0479,0,7.6017,5
0.5139,2.0479,-1,7.6017,6
0.5137,2.0479,-1,7.6017,1
0.5136,2.0479,-1,7.6017,2
0.5137,2.0464,0,7.5985,3
0.5139,2.0450,0,7.5959,4
0.5137,2.0450,-1,7.5959,5
0.5139,2.0435,0,7.5948,6
0.5137,2.0435,-1,7.5948,7
0.5139,2.0435,2,7.5951,8
0.5137,2.0435,-1,7.5951,9
0.5135,2.0435,-1,7.5951,10
0.5133,2.0435,-1,7.5951,11
0.5135,2.0421,0,7.5982,12
0.5137,2.0406,0,7.6020,13
0.5135,2.0406,-1,7.6020,14
0.5137,2.0420,4,7.6071,15
0.5135,2.0420,-1,7.6071,16
0.5137,2.0406,0,7.6137,17
0.5135,2.0406,-1,7.6137,18
0.5136,2.0392,0,7.6217,19
0.5135,2.0392,-1,7.6217,20
0.5136,2.0384,1,7.6310,21
0.5135,2.0384,-1,7.6310,22
0.5133,2.0384,-1,7.6310,1
0.5134,2.0384,2,7.6271,2
0.5136,2.0370,0,7.6239,3
0.5138,2.0377,3,7.6213,4
0.5140,2.0362,0,7.6195,5
0.5141,2.0376,4,7.6184,6
0.5143,2.0369,1,7.6180,7
0.5145,2.0355,0,7.6182,8
0.5147,2.0368,4,7.6192,9
0.5148,2.0410,8,7.6208,10
0.5150,2.0423,4,7.6232,11
0.5148,2.0423,-1,7.6232,1
0.5150,2.0409,0,7.6193,2
0.5148,2.0409,-1,7.6193,3
0.5146,2.0409,-1,7.6193,4
0.5148,2.0430,5,7.6175,5
0.5150,2.0416,0,7.6163,6
0.5152,2.0401,0,7.6159,7
0.5153,2.0387,0,7.6162,8
0.5155,2.0380,1,7.6171,9
0.5153,2.0380,-1,7.6171,10
0.5155,2.0380,2,7.6195,11
0.5157,2.0366,0,7.6225,12
0.5155,2.0366,-1,7.6225,1
0.5153,2.0366,-1,7.6225,2
0.5155,2.0366,2,7.6193,3
0.5156,2.0393,6,7.6168,4
0.5158,2.0393,2,7.6150,5
0.5156,2.0393,-1,7.6150,6
0.5158,2.0385,1,7.6146,7
0.5156,2.0385,-1,7.6146,8
0.5158,2.0378,1,7.6155,9
0.5156,2.0378,-1,7.6155,10
0.5158,2.0371,1,7.6110,1
0.5156,2.0371,-1,7.6110,2
0.5154,2.0371,-1,7.6110,3
0.5152,2.0371,-1,7.6110,4
0.5154,2.0357,0,7.6092,5
0.5152,2.0357,-1,7.6092,6
0.5150,2.0357,-1,7.6092,1
0.5149,2.0357,-1,7.6092,2
0.5150,2.0343,0,7.6060,3
0.5152,2.0329,0,7.6036,4
0.5150,2.0329,-1,7.6036,5
0.5152,2.0315,0,7.6025,6
0.5150,2.0315,-1,7.6025,7
0.5152,2.0315,2,7.6027,8
0.5150,2.0315,-1,7.6027,9
0.5148,2.0315,-1,7.6027,10
0.5146,2.0315,-1,7.6027,11
0.5148,2.0301,0,7.6057,12
0.5150,2.0287,0,7.6094,13
0.5148,2.0287,-1,7.6094,14
0.5150,2.0301,4,7.6145,15
0.5148,2.0301,-1,7.6145,16
0.5149,2.0287,0,7.6209,17
0.5148,2.0287,-1,7.6209,18
0.5149,2.0273,0,7.6287,19
0.5148,2.0273,-1,7.6287,20
0.5149,2.0266,1,7.6378,21
0.5147,2.0266,-1,7.6378,22
0.5146,2.0266,-1,7.6378,1
0.5147,2.0266,2,7.6339,2
0.5149,2.0252,0,7.6308,3
0.5151,2.0259,3,7.6283,4
0.5152,2.0245,0,7.6265,5
0.5154,2.0258,4,7.6254,6
0.5156,2.0251,1,7.6250,7
0.5158,2.0238,0,7.6253,8
0.5159,2.0251,4,7.6262,9
0.5161,2.0292,8,7.6278,10
0.5163,2.0305,4,7.6301,11
0.5161,2.0305,-1,7.6301,1
0.5159,2.0305,-1,7.6301,1
0.5157,2.0305,-1,7.6301,2
0.5155,2.0305,-1,7.6301,3
0.5154,2.0305,-1,7.6301,4
0.5155,2.0311,3,7.6283,5
0.5154,2.0311,-1,7.6283,1
0.5155,2.0325,4,7.6245,2
0.5157,2.0352,6,7.6214,3
0.5155,2.0352,-1,7.6214,4
0.5157,2.0338,0,7.6196,5
0.5158,2.0344,3,7.6185,6
0.5157,2.0344,-1,7.6185,7
0.5155,2.0344,-1,7.6185,8
0.5157,2.0331,0,7.6194,9
0.5155,2.0331,-1,7.6194,1
0.5156,2.0357,6,7.6156,2
0.5158,2.0344,0,7.6125,3
0.5156,2.0344,-1,7.6125,4
0.5155,2.0344,-1,7.6125,5
0.5153,2.0344,-1,7.6125,6
0.5154,2.0391,9,7.6121,7
0.5156,2.0404,4,7.6124,8
0.5158,2.0410,3,7.6133,9
0.5156,2.0410,-1,7.6133,10
0.5158,2.0397,0,7.6156,11
0.5159,2.0383,0,7.6185,12
0.5158,2.0383,-1,7.6185,13
0.5159,2.0376,1,7.6228,14
0.5161,2.0389,4,7.6278,15
0.5163,2.0395,3,7.6334,16
0.5164,2.0382,0,7.6397,17
0.5166,2.0382,2,7.6466,18
0.5164,2.0382,-1,7.6466,19
0.5166,2.0388,3,7.6548,20
0.5168,2.0381,1,7.6638,21
0.5166,2.0381,-1,7.6638,1
0.5164,2.0381,-1,7.6638,1
0.5162,2.0381,-1,7.6638,2
0.5164,2.0421,8,7.6607,3
0.5166,2.0414,1,7.6582,4
0.5167,2.0420,3,7.6564,5
0.5165,2.0420,-1,7.6564,6
0.5167,2.0407,0,7.6560,7
0.5169,2.0393,0,7.6562,8
0.5170,2.0393,2,7.6571,9
0.5169,2.0393,-1,7.6571,10
0.5170,2.0386,1,7.6593,11
0.5169,2.0386,-1,7.6593,1
0.5167,2.0386,-1,7.6593,2
0.5165,2.0386,-1,7.6593,3
0.5167,2.0372,0,7.6569,4
0.5168,2.0359,0,7.6551,5
0.5166,2.0359,-1,7.6551,6
0.5165,2.0359,-1,7.6551,7
0.5166,2.0352,1,7.6554,8
0.5168,2.0345,1,7.6563,9
0.5166,2.0345,-1,7.6563,10
0.5168,2.0371,6,7.6585,11
0.5170,2.0378,3,7.6614,12
0.5168,2.0378,-1,7.6614,13
0.5169,2.0391,4,7.6656,14
0.5168,2.0391,-1,7.6656,15
0.5169,2.0384,1,7.6711,16
0.5171,2.0370,0,7.6772,17
0.5173,2.0364,1,7.6841,18
0.5174,2.0350,0,7.6915,19
0.5173,2.0350,-1,7.6915,20
0.5174,2.0343,1,7.7003,21
0.5176,2.0350,3,7.7098,22
0.5174,2.0350,-1,7.7098,23
0.5176,2.0349,2,7.7205,24
0.5177,2.0336,0,7.7319,25
0.5176,2.0336,-1,7.7319,1
0.5177,2.0323,0,7.7281,2
0.5179,2.0309,0,7.7250,3
0.5181,2.0296,0,7.7226,4
0.5182,2.0283,0,7.7208,5
0.5184,2.0269,0,7.7196,6
0.5185,2.0256,0,7.7192,7
0.5187,2.0243,0,7.7193,8
0.5189,2.0256,4,7.7149,1
0.5187,2.0256,-1,7.7149,2
0.5189,2.0242,0,7.7119,3
0.5190,2.0255,4,7.7094,4
0.5188,2.0255,-1,7.7094,5
0.5190,2.0294,8,7.7083,6
0.5188,2.0294,-1,7.7083,7
0.5187,2.0294,-1,7.7083,8
0.5188,2.0281,0,7.7092,9
0.5190,2.0268,0,7.7106,10
0.5188,2.0268,-1,7.7106,11
0.5190,2.0268,2,7.7134,12
0.5191,2.0261,1,7.7169,13
0.5190,2.0261,-1,7.7169,14
0.5188,2.0261,-1,7.7169,15
0.5189,2.0248,0,7.7223,16
0.5188,2.0248,-1,7.7223,17
0.5186,2.0248,-1,7.7223,1
0.5188,2.0235,0,7.7186,2
0.5189,2.0267,7,7.7155,3
0.5191,2.0260,1,7.7131,4
0.5189,2.0260,-1,7.7131,5
0.5191,2.0280,5,7.7120,6
0.5189,2.0280,-1,7.7120,7
0.5187,2.0280,-1,7.7120,8
0.5189,2.0266,0,7.7128,9
0.5190,2.0253,0,7.7143,10
0.5189,2.0253,-1,7.7143,11
0.5190,2.0240,0,7.7171,12
0.5189,2.0240,-1,7.7171,13
0.5187,2.0240,-1,7.7171,14
0.5188,2.0227,0,7.7218,15
0.5190,2.0240,4,7.7272,16
0.5188,2.0240,-1,7.7272,1
0.5187,2.0240,-1,7.7272,2
0.5188,2.0233,1,7.7241,3
0.5190,2.0227,1,7.7217,4
0.5188,2.0227,-1,7.7217,5
0.5190,2.0226,2,7.7206,6
0.5191,2.0213,0,7.7201,7
0.5190,2.0213,-1,7.7201,8
0.5191,2.0200,0,7.7209,9
0.5189,2.0200,-1,7.7209,10
0.5188,2.0200,-1,7.7209,11
0.5189,2.0187,0,7.7237,12
0.5188,2.0187,-1,7.7237,13
0.5189,2.0174,0,7.7277,14
0.5191,2.0161,0,7.7324,15
0.5189,2.0161,-1,7.7324,16
0.5187,2.0161,-1,7.7324,1
0.5189,2.0148,0,7.7287,2
0.5191,2.0142,1,7.7257,3
0.5192,2.0129,0,7.7233,4
0.5194,2.0116,0,7.7215,5
0.5195,2.0116,2,7.7172,1
0.5194,2.0116,-1,7.7172,2
0.5192,2.0116,-1,7.7172,3
0.5193,2.0116,2,7.7148,4
0.5192,2.0116,-1,7.7148,1
0.5193,2.0148,7,7.7112,2
0.5195,2.0135,0,7.7081,3
0.5193,2.0135,-1,7.7081,4
0.5191,2.0135,-1,7.7081,5
0.5190,2.0135,-1,7.7081,6
0.5188,2.0135,-1,7.7081,1
0.5186,2.0135,-1,7.7081,2
0.5188,2.0128,1,7.7051,3
0.5186,2.0128,-1,7.7051,4
0.5188,2.0154,6,7.7034,5
0.5189,2.0173,5,7.7023,6
0.5188,2.0173,-1,7.7023,7
0.5186,2.0173,-1,7.7023,1
0.5188,2.0160,0,7.6987,2
0.5189,2.0147,0,7.6957,3
0.5191,2.0134,0,7.6933,4
0.5192,2.0121,0,7.6916,5
0.5194,2.0108,0,7.6905,6
0.5192,2.0108,-1,7.6905,1
0.5190,2.0108,-1,7.6905,2
0.5192,2.0096,0,7.6875,3
0.5194,2.0115,5,7.6851,4
0.5195,2.0127,4,7.6834,5
0.5197,2.0140,4,7.6824,6
0.5195,2.0140,-1,7.6824,7
0.5193,2.0140,-1,7.6824,8
0.5195,2.0127,0,7.6832,9
0.5193,2.0127,-1,7.6832,1
0.5192,2.0127,-1,7.6832,2
0.5193,2.0134,3,7.6802,3
0.5195,2.0127,1,7.6779,4
0.5193,2.0127,-1,7.6779,5
0.5195,2.0114,0,7.6768,6
0.5193,2.0114,-1,7.6768,7
0.5194,2.0102,0,7.6770,8
0.5196,2.0089,0,7.6779,9
0.5194,2.0089,-1,7.6779,10
0.5193,2.0089,-1,7.6779,11
0.5191,2.0089,-1,7.6779,12
0.5192,2.0076,0,7.6812,13
0.5191,2.0076,-1,7.6812,14
0.5189,2.0076,-1,7.6812,15
0.5191,2.0063,0,7.6865,16
0.5189,2.0063,-1,7.6865,17
0.5187,2.0063,-1,7.6865,18
0.5189,2.0051,0,7.6823,1
0.5190,2.0051,2,7.6787,2
0.5189,2.0051,-1,7.6787,3
0.5190,2.0038,0,7.6764,4
0.5192,2.0038,2,7.6747,5
0.5193,2.0032,1,7.6736,6
0.5195,2.0032,2,7.6732,7
0.5197,2.0019,0,7.6734,8
0.5195,2.0019,-1,7.6734,9
0.5193,2.0019,-1,7.6734,10
0.5191,2.0019,-1,7.6734,11
0.5193,2.0006,0,7.6761,12
0.5191,2.0006,-1,7.6761,13
0.5190,2.0006,-1,7.6761,1
0.5188,2.0006,-1,7.6761,2
0.5190,1.9994,0,7.6732,3
0.5191,1.9994,2,7.6709,4
0.5193,1.9987,1,7.6692,5
0.5194,1.9981,1,7.6681,6
0.5196,1.9975,1,7.6677,7
0.5197,1.9962,0,7.6679,8
0.5199,1.9950,0,7.6688,9
0.5201,1.9950,2,7.6702,10
0.5202,1.9944,1,7.6723,11
0.5204,1.9962,5,7.6750,12
0.5202,1.9962,-1,7.6750,13
0.5200,1.9962,-1,7.6750,1
0.5199,1.9962,-1,7.6750,2
0.5200,1.9969,3,7.6721,3
0.5202,1.9956,0,7.6698,4
0.5200,1.9956,-1,7.6698,5
0.5198,1.9956,-1,7.6698,6
0.5200,1.9944,0,7.6694,7
0.5201,1.9931,0,7.6696,8
0.5200,1.9931,-1,7.6696,9
0.5198,1.9931,-1,7.6696,10
0.5200,1.9919,0,7.6654,1
0.5198,1.9919,-1,7.6654,2
0.5196,1.9919,-1,7.6654,3
0.5198,1.9906,0,7.6631,4
0.5199,1.9894,0,7.6615,5
0.5198,1.9894,-1,7.6615,6
0.5196,1.9894,-1,7.6615,7
0.5194,1.9894,-1,7.6615,8
0.5193,1.9894,-1,7.6615,9
0.5191,1.9894,-1,7.6615,10
0.5192,1.9882,0,7.6636,11
0.5191,1.9882,-1,7.6636,12
0.5192,1.9869,0,7.6669,13
0.5194,1.9857,0,7.6708,14
0.5192,1.9857,-1,7.6708,1
0.5194,1.9845,0,7.6673,2
0.5195,1.9832,0,7.6644,3
0.5194,1.9832,-1,7.6644,4
0.5195,1.9845,4,7.6627,5
0.5197,1.9832,0,7.6617,6
0.5198,1.9820,0,7.6613,7
0.5197,1.9820,-1,7.6613,8
0.5198,1.9808,0,7.6621,9
0.5197,1.9808,-1,7.6621,10
0.5198,1.9796,0,7.6642,11
0.5200,1.9783,0,7.6669,12
0.5201,1.9777,1,7.6702,13
0.5199,1.9777,-1,7.6702,14
0.5198,1.9777,-1,7.6702,1
0.5196,1.9777,-1,7.6702,2
0.5198,1.9771,1,7.6673,3
0.5199,1.9784,4,7.6650,4
0.5198,1.9784,-1,7.6650,5
0.5199,1.9802,5,7.6640,6
0.5201,1.9796,1,7.6636,7
0.5202,1.9790,1,7.6638,8
0.5204,1.9778,0,7.6646,9
0.5205,1.9766,0,7.6661,10
0.5204,1.9766,-1,7.6661,11
0.5205,1.9754,0,7.6687,12
0.5203,1.9754,-1,7.6687,13
0.5205,1.9742,0,7.6726,14
0.5207,1.9736,1,7.6771,15
0.5205,1.9736,-1,7.6771,16
0.5203,1.9736,-1,7.6771,17
0.5205,1.9723,0,7.6835,18
0.5206,1.9736,4,7.6904,19
0.5208,1.9736,2,7.6980,20
0.5206,1.9736,-1,7.6980,21
0.5208,1.9724,0,7.7067,22
0.5209,1.9718,1,7.7161,23
0.5208,1.9718,-1,7.7161,1
0.5206,1.9718,-1,7.7161,2
0.5204,1.9718,-1,7.7161,3
0.5203,1.9718,-1,7.7161,4
0.5204,1.9706,0,7.7145,5
0.5206,1.9712,3,7.7134,6
0.5207,1.9718,3,7.7130,7
0.5205,1.9718,-1,7.7130,8
0.5207,1.9725,3,7.7138,9
0.5205,1.9725,-1,7.7138,10
0.5204,1.9725,-1,7.7138,11
0.5202,1.9725,-1,7.7138,12
0.5200,1.9725,-1,7.7138,13
0.5202,1.9713,0,7.7176,14
0.5200,1.9713,-1,7.7176,15
0.5202,1.9701,0,7.7227,16
0.5200,1.9701,-1,7.7227,17
0.5198,1.9701,-1,7.7227,18
0.5197,1.9701,-1,7.7227,19
0.5195,1.9701,-1,7.7227,20
0.5194,1.9701,-1,7.7227,1
0.5192,1.9701,-1,7.7227,2
0.5190,1.9701,-1,7.7227,3
0.5189,1.9701,-1,7.7227,4
0.5190,1.9695,1,7.7186,1
0.5192,1.9683,0,7.7151,2
0.5193,1.9701,5,7.7122,3
0.5195,1.9720,5,7.7099,4
0.5193,1.9720,-1,7.7099,5
0.5191,1.9720,-1,7.7099,6
0.5190,1.9720,-1,7.7099,7
0.5188,1.9720,-1,7.7099,8
0.5190,1.9708,0,7.7107,9
0.5188,1.9708,-1,7.7107,10
0.5190,1.9702,1,7.7127,11
0.5188,1.9702,-1,7.7127,12
0.5186,1.9702,-1,7.7127,13
0.5188,1.9726,6,7.7165,14
0.5186,1.9726,-1,7.7165,1
0.5184,1.9726,-1,7.7165,2
0.5186,1.9714,0,7.7137,3
0.5188,1.9702,0,7.7114,4
0.5186,1.9702,-1,7.7114,1
0.5184,1.9702,-1,7.7114,2
0.5183,1.9702,-1,7.7114,3
0.5181,1.9702,-1,7.7114,4
0.5179,1.9702,-1,7.7114,5
0.5181,1.9696,1,7.7104,6
0.5182,1.9691,1,7.7100,7
0.5184,1.9733,9,7.7101,8
0.5185,1.9721,0,7.7109,9
0.5187,1.9709,0,7.7123,10
0.5185,1.9709,-1,7.7123,1
0.5187,1.9697,0,7.7088,2
0.5185,1.9697,-1,7.7088,3
0.5184,1.9697,-1,7.7088,4
0.5185,1.9685,0,7.7072,5
0.5187,1.9698,4,7.7031,1
0.5185,1.9698,-1,7.7031,2
0.5186,1.9686,0,7.7003,3
0.5185,1.9686,-1,7.7003,4
0.5186,1.9674,0,7.6987,5
0.5188,1.9668,1,7.6976,6
0.5189,1.9656,0,7.6972,7
0.5188,1.9656,-1,7.6972,8
0.5186,1.9656,-1,7.6972,9
0.5188,1.9681,6,7.6986,10
0.5186,1.9681,-1,7.6986,11
0.5188,1.9687,3,7.7012,12
0.5186,1.9687,-1,7.7012,13
0.5187,1.9693,3,7.7050,14
0.5189,1.9693,2,7.7094,15
0.5187,1.9693,-1,7.7094,16
0.5189,1.9699,3,7.7150,17
0.5190,1.9742,9,7.7212,18
0.5192,1.9730,0,7.7279,19
0.5193,1.9736,3,7.7353,20
0.5192,1.9736,-1,7.7353,21
0.5193,1.9730,1,7.7439,22
0.5195,1.9718,0,7.7530,23
0.5193,1.9718,-1,7.7530,24
0.5195,1.9712,1,7.7633,25
0.5193,1.9712,-1,7.7633,26
0.5191,1.9712,-1,7.7633,1
0.5190,1.9712,-1,7.7633,2
0.5191,1.9719,3,7.7605,3
0.5193,1.9713,1,7.7582,4
0.5191,1.9713,-1,7.7582,5
0.5193,1.9701,0,7.7572,6
0.5191,1.9701,-1,7.7572,7
0.5192,1.9695,1,7.7573,8
0.5191,1.9695,-1,7.7573,9
0.5192,1.9683,0,7.7587,10
0.5194,1.9678,1,7.7606,11
0.5195,1.9678,2,7.7631,12
0.5194,1.9678,-1,7.7631,13
0.5192,1.9678,-1,7.7631,1
0.5194,1.9720,9,7.7597,2
0.5195,1.9708,0,7.7569,3
0.5197,1.9738,7,7.7546,4
0.5195,1.9738,-1,7.7546,5
0.5196,1.9726,0,7.7536,6
0.5198,1.9738,4,7.7531,7
0.5199,1.9756,5,7.7533,8
0.5201,1.9745,0,7.7540,9
0.5199,1.9745,-1,7.7540,10
0.5201,1.9733,0,7.7559,11
0.5202,1.9721,0,7.7585,12
0.5201,1.9721,-1,7.7585,13
0.5199,1.9721,-1,7.7585,1
0.5200,1.9709,0,7.7550,2
0.5199,1.9709,-1,7.7550,3
0.5197,1.9709,-1,7.7550,4
0.5196,1.9709,-1,7.7550,5
0.5197,1.9698,0,7.7540,6
0.5199,1.9704,3,7.7500,1
0.5197,1.9704,-1,7.7500,2
0.5199,1.9692,0,7.7472,3
0.5197,1.9692,-1,7.7472,4
0.5198,1.9680,0,7.7456,5
0.5197,1.9680,-1,7.7456,6
0.5195,1.9680,-1,7.7456,7
0.5194,1.9680,-1,7.7456,1
0.5195,1.9669,0,7.7422,2
0.5197,1.9699,7,7.7394,3
0.5198,1.9687,0,7.7372,4
0.5196,1.9687,-1,7.7372,5
0.5198,1.9675,0,7.7361,6
0.5199,1.9670,1,7.7357,7
0.5198,1.9670,-1,7.7357,8
0.5199,1.9664,1,7.7364,9
0.5201,1.9652,0,7.7378,10
0.5202,1.9641,0,7.7397,11
0.5204,1.9629,0,7.7422,12
0.5205,1.9618,0,7.7453,13
0.5207,1.9618,2,7.7490,14
0.5205,1.9618,-1,7.7490,1
0.5203,1.9618,-1,7.7490,2
0.5202,1.9618,-1,7.7490,3
0.5200,1.9618,-1,7.7490,4
0.5199,1.9618,-1,7.7490,5
0.5197,1.9618,-1,7.7490,6
0.5195,1.9618,-1,7.7490,7
0.5197,1.9606,0,7.7491,8
0.5195,1.9606,-1,7.7491,9
0.5194,1.9606,-1,7.7491,10
0.5195,1.9607,2,7.7510,11
0.5194,1.9607,-1,7.7510,12
0.5192,1.9607,-1,7.7510,1
0.5194,1.9624,5,7.7477,2
0.5195,1.9613,0,7.7449,3
0.5196,1.9601,0,7.7427,4
0.5198,1.9607,3,7.7411,5
0.5196,1.9607,-1,7.7411,6
0.5198,1.9596,0,7.7406,7
0.5199,1.9596,2,7.7408,8
0.5201,1.9585,0,7.7415,9
0.5202,1.9585,2,7.7376,1
0.5201,1.9585,-1,7.7376,2
0.5202,1.9597,4,7.7348,3
0.5200,1.9597,-1,7.7348,1
0.5202,1.9591,1,7.7315,2
0.5203,1.9621,7,7.7287,3
0.5205,1.9615,1,7.7265,4
0.5206,1.9645,7,7.7249,5
0.5205,1.9645,-1,7.7249,6
0.5203,1.9645,-1,7.7249,7
0.5202,1.9645,-1,7.7249,8
0.5203,1.9633,0,7.7210,1
0.5201,1.9633,-1,7.7210,2
0.5203,1.9633,2,7.7183,3
0.5201,1.9633,-1,7.7183,4
0.5200,1.9633,-1,7.7183,5
0.5201,1.9622,0,7.7144,1
0.5203,1.9610,0,7.7110,2
0.5201,1.9610,-1,7.7110,3
0.5200,1.9610,-1,7.7110,4
0.5201,1.9622,4,7.7095,5
0.5202,1.9634,4,7.7085,6
0.5204,1.9623,0,7.7081,7
0.5205,1.9611,0,7.7082,8
0.5204,1.9611,-1,7.7082,9
0.5205,1.9629,5,7.7096,10
0.5204,1.9629,-1,7.7096,11
0.5205,1.9623,1,7.7121,12
0.5207,1.9653,7,7.7151,13
0.5208,1.9647,1,7.7188,14
0.5206,1.9647,-1,7.7188,1
0.5208,1.9636,0,7.7154,2
0.5209,1.9665,7,7.7127,3
0.5211,1.9659,1,7.7106,4
0.5209,1.9659,-1,7.7106,5
0.5211,1.9648,0,7.7096,6
0.5212,1.9636,0,7.7092,7
0.5210,1.9636,-1,7.7092,8
0.5212,1.9625,0,7.7099,9
0.5213,1.9614,0,7.7112,10
0.5212,1.9614,-1,7.7112,11
0.5213,1.9614,2,7.7137,12
0.5215,1.9620,3,7.7168,13
0.5213,1.9620,-1,7.7168,14
0.5212,1.9620,-1,7.7168,15
0.5210,1.9620,-1,7.7168,16
0.5208,1.9620,-1,7.7168,17
0.5207,1.9620,-1,7.7168,18
0.5208,1.9614,1,7.7232,19
0.5210,1.9603,0,7.7303,20
0.5211,1.9603,2,7.7379,21
0.5210,1.9603,-1,7.7379,1
0.5211,1.9609,3,7.7346,2
0.5212,1.9638,7,7.7319,3
0.5214,1.9627,0,7.7298,4
0.5215,1.9616,0,7.7282,5
0.5214,1.9616,-1,7.7282,6
0.5215,1.9633,5,7.7278,7
0.5214,1.9633,-1,7.7278,8
0.5212,1.9633,-1,7.7278,9
0.5211,1.9633,-1,7.7278,1
